;LATITUDE;LONGITUDE;ALTITUDE;REGIÃO;ESTADO;NOME;CODIGO
2021;-8.968677;-48.177259;189.71;N;TO;PEDRO AFONSO;A020
2021;-15.448089;-44.366313;468.0;SE;MG;JANUARIA;A559
2021;-21.46111111;-47.57944443;620.0;SE;SP;SAO SIMAO;A770
2021;-19.23249999;-44.96416666;705.0;SE;MG;POMPEU;A560
2018;3.35888888;-59.82388888;;SE;MG;EB;S122
2021;-18.07277777;-54.54888888;251.0;CO;MS;PEDRO GOMES;S714
2021;-12.555;-55.72277777;379.31;CO;MT;SORRISO;A904
2021;-21.105;-42.37583332;282.79;SE;MG;MURIAE;A517
2021;-19.407181;-40.539825;95.0;SE;ES;MARILANDIA;A632
2021;-9.03333333;-42.70111111;383.13;NE;PI;SAO RAIMUNDO NONATO;A345
2021;-22.5525;-55.71638888;668.0;CO;MS;PONTA PORA;A703
2018;-5.91111111;-42.7186111;287.0;NE;PI;SAO PEDRO DO PIAUI;A362
2021;-0.61888888;-47.35666666;23.18;N;PA;SALINOPOLIS;A215
2021;-18.69527777;-40.39055555;156.02;SE;ES;NOVA VENECIA;A623
2021;-1.68027777;-50.47805554;11.0;N;PA;BREVES;A228
2021;-22.119867;-51.408637;431.92;SE;SP;PRESIDENTE PRUDENTE;A707
2021;-18.51222222;-54.7361111;251.48;CO;MS;COXIM;A720
2021;-1.73472221;-47.0575;79.1;N;PA;CAPITAO POCO;A248
2018;-2.7;-44.85;;NE;MA;SAO BENTO;S108
2021;-3.39888888;-57.67388888;25.49;N;AM;MAUES;A122
2018;-12.42999999;-64.41999999;;N;RO;FORTE PRINCIPE;S101
2021;-25.36888888;-52.39194444;835.0;S;PR;LARANJEIRAS DO SUL;B804
2021;-25.508935;-48.808681;50.31;S;PR;MORRETES;A873
2021;-21.774944;-54.528108;324.31;CO;MS;RIO BRILHANTE;A743
2021;-13.90694444;-38.97222221;6.24;NE;BA;MARAU;A438
2021;-20.38555555;-41.18999999;722.0;SE;ES;VENDA NOVA DO IMIGRANTE;A633
2021;-13.18472221;-53.2575;375.87;CO;MT;GAUCHA DO NORTE;A930
2021;-10.47388888;-36.48194443;6.11;NE;SE;BREJO GRANDE;A421
2021;-2.52666666;-44.21361111;54.8;NE;MA;SAO LUIS;A203
2021;0.69416666;-51.40388888;84.8;N;AP;PORTO GRANDE;A244
2021;-26.2486111;-49.57416666;800.0;S;SC;RIO NEGRINHO;A862
2021;-13.25111111;-43.40527777;447.75;NE;BA;BOM JESUS DA LAPA;A418
2021;-17.78527777;-50.965;780.11;CO;GO;RIO VERDE;A025
2021;-2.5025;-54.72027777;137.0;N;PA;SANTAREM;A250
2020;-84.0;-79.49416666;1285.0;SE;SP;CRIOSFERA;C891
2021;-10.455;-41.20694444;646.24;NE;BA;DELFINO;A443
2021;-31.24833333;-50.90638888;3.82;S;RS;MOSTARDAS;A878
2021;-9.90638888;-58.57222221;265.0;CO;MT;COTRIGUACU;A919
2021;-16.08805555;-39.21527777;89.67;NE;BA;BELMONTE;A447
2021;-30.54305555;-52.52472221;427.75;S;RS;ENCRUZILHADA DO SUL;A893
2021;-1.04722221;-46.78583333;41.0;N;PA;BRAGANCA;A226
2018;0.59944444;-69.19194444;;N;AM;PEF YAUARETE;S115
2021;-22.75777777;-43.68472221;35.0;SE;RJ;SEROPEDICA-ECOLOGIA AGRICOLA;A601
2021;-27.65771;-52.305805;777.08;S;RS;ERECHIM;A828
2021;-23.0025;-55.32944443;433.59;CO;MS;AMAMBAI;A750
2021;-15.72305554;-42.43583333;850.06;SE;MG;RIO PARDO DE MINAS;A551
2021;-3.26916666;-45.65111111;45.5;NE;MA;ZE DOCA;A255
2021;-5.03472221;-42.80138888;75.23;NE;PI;TERESINA;A312
2021;-19.35694444;-40.0686111;40.0;SE;ES;LINHARES;A614
2021;-23.04166666;-45.52083332;582.26;SE;SP;TAUBATE;A728
2021;-28.513602;-50.882738;969.89;S;RS;VACARIA;A880
2021;-11.05222222;-45.20083333;488.0;NE;BA;FORMOSA DO RIO PRETO;A452
2021;3.81361111;-51.8625;15.14;N;AP;OIAPOQUE;A242
2021;-7.5525;-63.07138888;53.56;N;AM;HUMAITA;A112
2021;-28.931353;-49.49792;2.0;S;SC;ARARANGUA;A867
2021;-11.02388888;-68.73527777;224.5;N;AC;EPITACIOLANDIA;A140
2021;-20.031457;-44.011249;1198.82;SE;MG;IBIRITE (ROLA MOCA);A555
2021;-19.71;-47.96194444;778.0;SE;MG;UBERABA;A568
2021;-9.87527777;-45.34583333;425.1;NE;PI;GILBUES;A364
2021;-23.85194444;-48.16472222;675.68;SE;SP;SAO MIGUEL ARCANJO;A715
2021;-17.33944444;-53.22444443;753.28;CO;MT;ALTO ARAGUAIA;A909
2021;-28.7486111;-50.05777777;1228.59;S;RS;SAO JOSE DOS AUSENTES;A829
2021;-15.22027777;-48.98999999;667.01;CO;GO;GOIANESIA;A022
2021;-11.98222221;-55.56611111;366.57;CO;MT;SINOP;A917
2021;-17.79888888;-40.25;211.97;SE;MG;SERRA DOS AIMORES;A522
2021;-20.63638888;-40.74194444;14.19;SE;ES;ALFREDO CHAVES;A615
2021;-3.73222221;-41.01194444;756.0;NE;CE;TIANGUA;A368
2021;-8.117939;-42.975721;312.07;NE;PI;CANTO DO BURITI;A365
2021;-11.00277777;-44.52499999;450.01;NE;BA;SANTA RITA DE CASSIA;A415
2021;-4.27694443;-55.99305555;24.46;N;PA;ITAITUBA;A231
2021;-11.61888888;-50.72777777;201.37;CO;MT;SAO FELIX  DO ARAGUAIA;A921
2021;-24.28027777;-50.21027777;1093.41;S;PR;VENTANIA;A872
2021;-7.20555555;-59.8886111;156.97;N;AM;APUI;A113
2021;-17.17499999;-54.50166666;593.12;CO;MT;ITIQUIRA;A933
2021;-18.78062;-40.986505;254.91;SE;MG;MANTENA;A540
2021;-21.71472222;-41.34388888;17.0;SE;RJ;CAMPOS DOS GOYTACAZES;A607
2021;-17.45472222;-52.60111111;862.0;CO;GO;MINEIROS;A026
2021;-10.73805555;-38.10833333;367.01;NE;SE;POCO VERDE;A419
2021;-18.200855;-45.459836;931.01;SE;MG;TRES MARIAS;A528
2021;-12.1961111;-38.96749999;229.64;NE;BA;FEIRA DE SANTANA;A413
2021;-22.8711111;-42.60888888;26.0;SE;RJ;SAQUAREMA - SAMPAIO CORREIA;A667
2018;-4.28999999;-47.55;;N;PA;DOM ELISEU;S107
2021;-19.605696;-46.949617;1018.32;SE;MG;ARAXA;A505
2021;-8.14277777;-70.3436111;157.17;N;AC;FEIJO;A138
2021;-12.52416666;-40.29972221;250.11;NE;BA;ITABERABA;A408
2021;-18.40972222;-49.19194444;491.17;CO;GO;ITUMBIARA;A035
2021;-20.715;-44.86444444;1025.0;SE;MG;OLIVEIRA;A570
2021;-11.375126;-58.774785;365.39;CO;MT;JUINA;A920
2021;-22.45138888;-44.44499999;438.83;SE;RJ;RESENDE;A609
2021;-23.22833332;-45.41694443;862.3;SE;SP;SAO LUIS DO PARAITINGA;A740
2018;-4.52999999;-71.61749999;;N;AM;PEF ESTIRAO DO EQUADOR;S116
2021;-3.48416666;-39.5886111;104.49;NE;CE;ITAPIPOCA;A359
2021;-2.63916666;-56.75611111;18.72;N;AM;PARINTINS;A123
2021;-7.10388888;-48.20111111;230.76;N;TO;ARAGUAINA;A021
2021;-21.56638888;-45.40416666;949.78;SE;MG;VARGINHA;A515
2021;-29.191599;-54.885653;390.03;S;RS;SANTIAGO;A833
2021;-29.87222221;-52.38194443;106.99;S;RS;RIO PARDO;A813
2021;-22.97555554;-44.30333333;6.0;SE;RJ;ANGRA DOS REIS;A628
2021;-19.98586;-48.151574;572.54;SE;MG;CONCEICAO DAS ALAGOAS;A520
2021;-20.17333332;-44.87499999;796.0;SE;MG;DIVINOPOLIS;A564
2021;-3.81583333;-38.53777777;29.55;NE;CE;FORTALEZA;A305
2021;-19.94555555;-54.3686111;624.0;CO;MS;BANDEIRANTES;S703
2021;-4.82138888;-43.3436111;84.85;NE;MA;CAXIAS;A237
2021;-25.322464;-49.157733;950.0;S;PR;COLOMBO;B806
2021;-22.30861111;-54.32583332;340.0;CO;MS;FATIMA DO SUL;S708
2021;-29.72499999;-53.72055554;103.1;S;RS;SANTA MARIA;A803
2021;-30.807953;-51.83424;92.3;S;RS;CAMAQUA;A838
2021;-10.43444444;-45.92194443;791.0;N;TO;MATEIROS;A040
2021;-18.52055554;-46.44055555;950.0;SE;MG;PATOS DE MINAS;A562
2021;-19.69555555;-51.18166666;408.06;CO;MS;PARANAIBA;A710
2021;-20.745237;-46.633916;781.7;SE;MG;PASSOS;A516
2021;-16.84888888;-42.03527777;308.0;SE;MG;ARACUAI;A566
2021;-26.95083333;-48.76194444;9.76;S;SC;ITAJAI;A868
2021;-8.30361111;-49.28277777;175.74;N;PA;CONCEICAO DO ARAGUAIA;A241
2017;-3.90083333;-42.23694444;65.0;NE;PI;ESPERANTINA;A338
2021;-7.31833332;-38.14083333;292.0;NE;PB;ITAPORANGA;A373
2021;-22.94888888;-49.89444444;443.49;SE;SP;OURINHOS;A716
2021;-15.12472221;-58.12722221;300.83;CO;MT;SALTO DO CEU;A936
2021;-29.70222222;-54.69444444;134.0;S;RS;SAO VICENTE DO SUL;A889
2021;-9.388323;-40.523262;372.72;NE;PE;PETROLINA;A307
2021;-9.9525;-54.89777777;283.58;CO;MT;GUARANTA DO NORTE;A906
2021;-3.82277777;-49.67499999;137.94;N;PA;TUCURUI;A229
2021;-14.20805555;-42.74972221;552.23;NE;BA;GUANAMBI;A426
2021;-22.68888888;-45.00555555;586.0;SE;SP;CACHOEIRA PAULISTA;A769
2021;-20.165;-50.59499999;460.44;SE;SP;JALES;A733
2021;-30.368578;-56.437115;113.05;S;RS;QUARAI;A831
2018;-2.93055554;-69.69527777;;N;AM;PEF IPIRANGA;S102
2021;-29.04916666;-50.14972221;1017.0;S;RS;CAMBARA DO SUL;A897
2021;-6.74333333;-51.14194444;320.93;N;PA;TUCUMA;A234
2021;-3.51083333;-52.96333333;251.68;N;PA;MEDICILANDIA;A209
2021;-13.3436111;-39.12666666;93.12;NE;BA;VALENCA;A444
2021;-7.88583333;-40.10277777;457.85;NE;PE;OURICURI;A366
2021;-9.80444444;-36.61916666;236.84;NE;AL;ARAPIRACA;A353
2021;-13.45388888;-56.67722221;339.59;CO;MT;S.J. DO RIO CLARO;A903
2021;-21.938745;-42.600936;293.0;SE;RJ;CARMO;A629
2021;-29.83987;-57.081899;74.29;S;RS;URUGUAIANA;A809
2021;-7.110518;-49.926072;245.0;N;PA;XINGUARA;A247
2021;-19.58749999;-54.02999999;540.0;CO;MS;CAMAPUA;S707
2021;-21.450972;-54.341972;5.0;CO;MS;NOVA ALVORADA DO SUL;S712
2021;-15.28027777;-39.09138888;74.08;NE;BA;UNA;A437
2021;-22.75027777;-45.60388888;1662.95;SE;SP;CAMPOS DO JORDAO;A706
2021;-6.03305554;-44.23333333;175.37;NE;MA;COLINAS;A222
2021;-14.97972221;-49.53999999;551.16;CO;GO;ITAPACI;A015
2021;-22.63944444;-52.89027777;368.22;S;PR;DIAMANTE DO NORTE;A849
2021;-13.33249999;-44.61749999;551.71;NE;BA;CORRENTINA;A416
2021;-16.38888888;-39.18249999;86.36;NE;BA;PORTO SEGURO;A427
2021;-7.61083333;-72.68138888;220.0;N;AC;CRUZEIRO DO SUL;A108
2021;-18.99666666;-57.63749999;111.73;CO;MS;CORUMBA;A724
2021;-8.333531;-45.094625;519.0;NE;PI;BAIXA GRANDE DO RIBEIRO;A375
2021;-23.84472221;-46.14333333;5.0;SE;SP;BERTIOGA;A765
2021;-22.35805555;-43.69555555;370.0;SE;RJ;VALENCA;A611
2021;-19.57388888;-42.62249999;493.42;SE;MG;TIMOTEO;A511
2021;-22.10166666;-56.54083333;206.09;CO;MS;BELA VISTA;A757
2021;-10.48416666;-52.37249999;300.0;CO;MT;SAO JOSE DO XINGU;A942
2021;-15.52416666;-46.43555555;894.0;SE;MG;BURITIS;A544
2021;-9.62555554;-42.07722221;397.4;NE;BA;REMANSO;A423
2021;-8.04333333;-50.00694444;199.0;N;PA;REDENCAO;A254
2021;-20.75055555;-41.48888888;138.0;SE;ES;ALEGRE;A617
2021;-15.57999999;-54.3811111;680.0;CO;MT;PRIMAVERA DO LESTE;A923
2021;-8.66666666;-35.56805554;164.01;NE;PE;PALMARES;A357
2021;-6.07749999;-50.14222221;707.0;N;PA;SERRA DOS CARAJAS;A230
2021;-11.2725;-37.795;204.8;NE;SE;ITABAIANINHA;A417
2021;-23.81083333;-45.4025;24.0;SE;SP;SAO SEBASTIAO;A767
2021;-14.42138888;-54.0361111;476.91;CO;MT;PARANATINGA;A915
2021;-28.27564;-49.934617;1400.06;S;SC;SAO JOAQUIM;A815
2021;-12.59222221;-49.5286111;231.0;N;TO;ARAGUACU;A054
2021;-4.24305555;-44.79499999;22.33;NE;MA;BACABAL;A220
2021;-21.4786111;-56.13777777;252.47;CO;MS;JARDIM;A758
2021;-6.639622;-51.956966;211.0;N;PA;SAO FELIX DO XINGU;A216
2021;-18.91694443;-48.25555555;874.77;SE;MG;UBERLANDIA;A507
2021;-24.67166666;-47.54583333;2.7;SE;SP;IGUAPE;A712
2021;-12.19305555;-43.21333333;425.12;NE;BA;IBOTIRAMA;A439
2021;-17.70555555;-42.38916666;932.06;SE;MG;CAPELINHA;A541
2021;-20.46694443;-40.40388888;25.0;SE;ES;VILA VELHA;A634
2021;-6.97416666;-42.14694444;154.03;NE;PI;OEIRAS;A354
2021;-7.07777777;-40.36277777;577.95;NE;CE;CAMPOS SALES;A347
2021;-8.26722221;-72.74777777;205.35;N;AC;PORTO WALTER;A136
2021;-19.885398;-44.416883;753.5;SE;MG;FLORESTAL;A535
2021;-21.22833332;-43.76777777;1168.76;SE;MG;BARBACENA;A502
2021;-22.955;-55.6261111;605.0;CO;MS;ARAL MOREIRA;S702
2021;-25.4486111;-49.23055554;922.91;S;PR;CURITIBA;A807
2021;-15.085958;-44.016036;454.0;SE;MG;MOCAMBINHO;A539
2021;-5.15111111;-36.57305554;17.37;NE;RN;MACAU;A317
2021;-17.258064;-44.835556;505.32;SE;MG;PIRAPORA;A545
2021;-26.7861111;-53.51388888;645.0;S;SC;SAO MIGUEL DO OESTE;A857
2021;-12.52194443;-58.23138888;426.2;CO;MT;BRASNORTE (NOVO MUNDO);A927
2021;-22.395799;-44.961909;1017.1;SE;MG;PASSA QUATRO;A529
2021;-15.751536;-41.457787;754.07;SE;MG;AGUAS VERMELHAS;A549
2021;-22.37388888;-44.70305555;2450.0;SE;RJ;ITATIAIA;A635
2021;-10.1286111;-36.28638888;82.39;NE;AL;CORURIPE;A355
2021;-7.45555555;-46.02749999;271.03;NE;MA;BALSAS;A204
2021;-9.28749999;-35.56583333;13.69;NE;AL;SAO LUIS DO QUITUNDE;A356
2021;-13.70805555;-59.7625;576.87;CO;MT;COMODORO;A913
2021;-19.45527777;-44.17333332;719.0;SE;MG;SETE LAGOAS;A569
2021;-20.455;-45.45388888;878.14;SE;MG;FORMIGA;A524
2021;-22.97527777;-42.02138888;5.0;SE;RJ;ARRAIAL DO CABO;A606
2021;-5.17444443;-39.28944444;221.04;NE;CE;QUIXERAMOBIM;A325
2021;-7.16527777;-34.81555555;33.5;NE;PB;JOAO PESSOA;A320
2021;-4.90416666;-37.36694443;29.44;NE;RN;MOSSORO;A318
2021;-18.676198;-39.864051;28.66;SE;ES;SAO MATEUS;A616
