"35";"35";"1";"-45,45";"-18,2333333333";NULL;"Amostra extra";"730,0";"E13";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"36";"36";"1";"-47,7670343518";"-18,7669651532";NULL;"Perfil completo";"900,0";"AP-6";NULL;NULL;NULL;NULL;NULL;"Corte de estrada";NULL;"0"
"37";"37";"1";"-47,95";"-18,6";NULL;"Amostra extra";"850,0";"E02";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"38";"38";"1";"-47,2166666667";"-19,6166666667";NULL;"Amostra extra";"1050,0";"E78";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"39";"39";"1";"-46,9833333333";"-19,5666666667";NULL;"Amostra extra";"940,0";"E54";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"40";"40";"1";"-47,3166666667";"-19,6333333333";NULL;"Amostra extra";"1150,0";"E31";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"41";"41";"1";"-47,5166666667";"-19,65";NULL;"Amostra extra";"1030,0";"E25";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"42";"42";"1";"-47,3";"-19,85";NULL;"Amostra extra";"1150,0";"E26";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"43";"43";"1";"-47,4333333333";"-19,85";NULL;"Amostra extra";"980,0";"E58";NULL;NULL;NULL;NULL;NULL;"Corte de estrada";NULL;"0"
"44";"44";"1";"-46,6166666667";"-18,8";NULL;"Perfil completo";"780,0";"AP-11";NULL;NULL;NULL;NULL;NULL;"Trincheira";NULL;"0"
"45";"45";"1";"-47,9333333333";"-19,0666666667";NULL;"Perfil completo";"700,0";"AP-27";NULL;NULL;NULL;NULL;NULL;"Corte de estrada";NULL;"0"
"46";"46";"1";"-47,75";"-18,7666666667";NULL;"Amostra extra";"890,0";"E19";NULL;NULL;NULL;NULL;NULL;"Corte de estrada";NULL;"0"
"47";"47";"1";"-47,6833333333";"-18,9166666667";NULL;"Amostra extra";"960,0";"E28";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"48";"48";"1";"-47,45";"-19,3666666667";NULL;"Amostra extra";"1020,0";"E27";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"49";"49";"1";"-47,0003358415";"-19,5503127999";NULL;"Perfil completo";"820,0";"AP-12";NULL;NULL;NULL;NULL;NULL;"Trincheira";NULL;"0"
"50";"50";"1";"-47,7833333333";"-18,5666666667";NULL;"Amostra extra";"650,0";"E04";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"51";"51";"1";"-47,5";"-19,6666666667";NULL;"Perfil completo";"1000,0";"AP-18";NULL;NULL;NULL;NULL;NULL;"Trincheira";NULL;"0"
"52";"52";"1";"-47,1333333333";"-18,3166666667";NULL;"Amostra extra";"750,0";"E46";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"53";"53";"1";"-47,45";"-18,6666666667";NULL;"Amostra extra";"800,0";"E15";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"54";"54";"1";"-45,9166666667";"-17,9666666667";NULL;"Amostra extra";"880,0";"E73";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"55";"55";"1";"-47,3833333333";"-19,4833333333";NULL;"Amostra extra";"1050,0";"E51";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"56";"56";"1";"-46,95";"-19,3";NULL;"Amostra extra";"900,0";"E06";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
"57";"57";"1";"-46,85";"-19,1833333333";NULL;"Amostra extra";"850,0";"E69";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"58";"58";"1";"-47,5833333333";"-19,6833333333";NULL;"Amostra extra";"850,0";"E42";NULL;NULL;NULL;NULL;NULL;"Tradagem";NULL;"0"
"59";"59";"1";"-47,7333333333";"-18,7166666667";NULL;"Amostra extra";"750,0";"E18";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0"
